                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 0.7247,                0.74141,                  1.221,                0.70834,                0.55457,                0.62071,                0.40898,                 1.2639,                 1.2262,                 2.0589,             0.00038355,             0.00038355,             0.00038355
                    111,                0.72524,                 0.7606,                 1.2253,                 0.5895,                0.65939,                0.61418,                0.40821,                 1.2607,                 1.2805,                 2.0699,             0.00037943,             0.00037943,             0.00037943
                    112,                0.72063,                0.74381,                 1.2217,                0.61218,                0.62173,                0.61755,                0.40809,                 1.2641,                 1.3032,                 2.0651,             0.00037531,             0.00037531,             0.00037531
                    113,                0.70555,                0.76019,                 1.2105,                0.63821,                0.61502,                 0.6211,                0.40613,                 1.2752,                 1.2465,                 2.1069,             0.00037118,             0.00037118,             0.00037118
                    114,                0.71361,                  0.728,                 1.2179,                0.60065,                0.63515,                0.60905,                0.40161,                 1.2444,                 1.3127,                 2.0518,             0.00036706,             0.00036706,             0.00036706
                    115,                0.70373,                0.72529,                 1.2013,                0.64408,                0.59169,                0.61697,                0.40708,                  1.232,                 1.2952,                 2.0209,             0.00036294,             0.00036294,             0.00036294
                    116,                0.69221,                0.71024,                 1.1984,                0.67287,                0.59625,                0.63011,                0.40946,                 1.2482,                 1.2322,                 2.0608,             0.00035881,             0.00035881,             0.00035881
                    117,                0.69762,                0.72571,                 1.2023,                  0.654,                0.59694,                0.62837,                0.41669,                 1.2497,                  1.232,                 2.0658,             0.00035469,             0.00035469,             0.00035469
                    118,                0.68167,                0.71079,                  1.196,                0.69417,                  0.599,                0.62731,                 0.4119,                 1.2493,                  1.269,                 2.1405,             0.00035057,             0.00035057,             0.00035057
                    119,                0.68414,                0.69665,                 1.1919,                0.63176,                0.64546,                0.64361,                0.43185,                 1.2312,                 1.2124,                 2.0341,             0.00034644,             0.00034644,             0.00034644
                    120,                0.68303,                0.71297,                 1.1979,                0.59089,                0.63926,                0.62009,                0.41349,                 1.2457,                 1.3359,                 2.0831,             0.00034232,             0.00034232,             0.00034232
                    121,                0.68274,                 0.6973,                 1.1904,                 0.6939,                0.58973,                0.64376,                  0.422,                 1.2265,                 1.3017,                 2.0666,              0.0003382,              0.0003382,              0.0003382
                    122,                0.67304,                0.69104,                 1.1881,                0.65728,                 0.6248,                0.63815,                 0.4179,                 1.2654,                 1.2744,                 2.0892,             0.00033407,             0.00033407,             0.00033407
                    123,                0.68124,                0.71952,                 1.1899,                0.71705,                0.52955,                0.63776,                 0.4147,                 1.2361,                 1.2339,                 2.0862,             0.00032995,             0.00032995,             0.00032995
                    124,                0.66739,                0.68847,                 1.1871,                0.66394,                0.60877,                0.63498,                0.42495,                 1.2223,                 1.2186,                 2.0735,             0.00032583,             0.00032583,             0.00032583
                    125,                0.66796,                0.67003,                 1.1744,                0.66082,                0.61168,                0.62786,                0.41278,                  1.252,                 1.2726,                 2.1184,              0.0003217,              0.0003217,              0.0003217
                    126,                0.67911,                0.68864,                 1.1883,                0.66288,                0.60043,                0.62728,                0.41112,                 1.2531,                 1.2727,                 2.1165,             0.00031758,             0.00031758,             0.00031758
                    127,                0.66994,                0.67667,                 1.1868,                0.61637,                0.63207,                0.62122,                0.40273,                  1.273,                 1.3145,                 2.1317,             0.00031346,             0.00031346,             0.00031346
                    128,                0.67537,                0.68015,                 1.1893,                0.60791,                0.63313,                0.62272,                0.41449,                 1.2644,                 1.2764,                 2.1343,             0.00030933,             0.00030933,             0.00030933
                    129,                0.65461,                0.65437,                 1.1741,                0.67352,                0.59476,                0.61929,                0.40736,                 1.2511,                 1.3011,                 2.1383,             0.00030521,             0.00030521,             0.00030521
                    130,                0.65498,                0.67979,                 1.1748,                0.68956,                0.63277,                0.60758,                0.40044,                 1.2789,                 1.3142,                 2.1402,             0.00030109,             0.00030109,             0.00030109
                    131,                0.64727,                0.65723,                 1.1663,                0.66805,                0.61504,                0.62983,                0.41556,                  1.277,                 1.2738,                 2.1927,             0.00029696,             0.00029696,             0.00029696
                    132,                0.64481,                0.65899,                 1.1695,                0.65766,                0.58712,                0.62679,                0.41407,                 1.2528,                 1.2616,                 2.1546,             0.00029284,             0.00029284,             0.00029284
                    133,                0.63308,                0.63555,                 1.1601,                0.66912,                 0.6475,                0.63345,                0.41611,                 1.2447,                 1.2523,                  2.149,             0.00028872,             0.00028872,             0.00028872
                    134,                0.64395,                0.65411,                 1.1702,                0.71949,                0.56985,                0.63471,                 0.4154,                 1.2441,                 1.2945,                 2.1406,             0.00028459,             0.00028459,             0.00028459
                    135,                0.64035,                0.63852,                 1.1685,                0.65669,                0.62363,                0.61103,                0.40384,                 1.2677,                 1.3349,                 2.1527,             0.00028047,             0.00028047,             0.00028047
                    136,                0.63815,                0.63154,                 1.1638,                0.68168,                0.58905,                0.62469,                0.41355,                 1.2837,                 1.3197,                 2.1651,             0.00027635,             0.00027635,             0.00027635
                    137,                0.62902,                0.62345,                 1.1531,                0.61717,                0.63696,                0.61375,                0.39648,                 1.2998,                 1.3736,                  2.207,             0.00027222,             0.00027222,             0.00027222
                    138,                0.63039,                 0.6265,                 1.1599,                0.66836,                0.59353,                0.62468,                0.40717,                 1.2933,                 1.3496,                 2.1776,              0.0002681,              0.0002681,              0.0002681
                    139,                0.62357,                0.61873,                 1.1498,                0.63731,                0.63567,                0.62184,                0.40438,                 1.2978,                 1.4069,                 2.1848,             0.00026398,             0.00026398,             0.00026398
                    140,                0.61507,                0.60722,                 1.1491,                0.70643,                0.54738,                0.63389,                0.41682,                 1.3102,                 1.3695,                 2.2317,             0.00025985,             0.00025985,             0.00025985
                    141,                 0.6064,                0.61119,                 1.1481,                 0.6778,                0.62031,                0.63458,                0.41558,                 1.2755,                 1.3155,                 2.1753,             0.00025573,             0.00025573,             0.00025573
                    142,                0.61473,                 0.6084,                 1.1463,                 0.6494,                0.57404,                0.60675,                0.40415,                 1.2454,                 1.3561,                 2.1101,             0.00025161,             0.00025161,             0.00025161
                    143,                 0.6132,                0.60272,                 1.1515,                0.56893,                 0.6022,                0.60896,                0.40344,                 1.2467,                 1.3313,                 2.1137,             0.00024748,             0.00024748,             0.00024748
                    144,                0.60173,                0.59993,                 1.1408,                0.64135,                0.59928,                0.60898,                0.40165,                 1.2584,                 1.3128,                 2.1429,             0.00024336,             0.00024336,             0.00024336
                    145,                0.59888,                0.59996,                 1.1335,                0.64064,                0.59052,                0.60742,                0.40431,                 1.2533,                 1.2899,                 2.1649,             0.00023924,             0.00023924,             0.00023924
                    146,                0.60213,                0.60509,                 1.1374,                 0.6301,                0.58641,                0.61484,                 0.4067,                 1.2417,                 1.2905,                 2.1472,             0.00023511,             0.00023511,             0.00023511
